LRLRLLRLRLRRLRLRLRRLRLRLLRRLRRLRLRLRLLRRRLRRRLLRRLRLRLRRRLRRLRRRLRLRLRRLRLLRLRLRRLRRRLRLRRLRRRLLRLRLRRRLRRRLRLRRRLRLRRRLLRRLLLRRRLLRRRLRRRLRRRLRLRLRLLRLRRLRLRLLLRRLRRLRRLRLRRLRRLLRRLRLRRRLRLRLLRRRLRRRLRRRLLLRRRLRLRLRRLRRRLRRRLRLRRRLRRLRRRLRLRRLLRRRLRRRLLLRRLRLRLRRLRRRLRRLRRLRLRRRR

GXT = (MQM, CHN)
MBK = (RCK, RCK)
HBS = (QHS, RXC)
SXK = (FDB, FKP)
NJB = (BSB, KJM)
SPD = (FNL, RSH)
FJF = (NFH, XJN)
GHV = (LSV, BTS)
QDT = (HXV, PDX)
MDH = (XDK, DKN)
AAA = (FKL, CFC)
GRB = (VDP, LMM)
CXK = (DVB, CRJ)
FDB = (FTD, CNK)
LQT = (BJV, SMQ)
TSK = (NQD, VSG)
VLF = (NDS, CTV)
PGP = (DKC, CKL)
PVJ = (FDB, FKP)
VSV = (NFP, QHX)
KXN = (XJN, NFH)
KMQ = (VBH, XXH)
QXR = (RMD, TLT)
DLN = (TPD, KBG)
BHK = (GRP, RXF)
TSX = (HQP, SHK)
PTV = (VSG, NQD)
QVN = (XBH, DHC)
DDM = (TCB, XRQ)
NKD = (CDR, BJM)
JNR = (FMC, SQN)
VPQ = (JGC, VCJ)
HPB = (STQ, DDM)
HRT = (JNR, BGH)
CNQ = (HQV, PJQ)
PMG = (LRB, XXP)
RKV = (XGN, VCG)
KVQ = (KHS, SLV)
MDM = (VDX, NSF)
VHT = (PGP, GJS)
BPD = (NBF, VNH)
JCQ = (JCB, XVR)
CFJ = (PQP, CBJ)
DSX = (BXN, VDS)
MGH = (PFV, NLQ)
MPK = (FND, BJX)
QFR = (HFC, CNG)
PHS = (VNH, NBF)
KTT = (MTG, SQM)
JBK = (CSR, VXV)
BKL = (DLB, SHQ)
GQH = (PCH, LDZ)
XVJ = (CQM, SLF)
VBN = (FFF, PDL)
KQH = (SLT, XLG)
SSN = (PQH, LFT)
MQM = (SBH, TTC)
SCR = (HGH, QGS)
XTZ = (XKM, JTJ)
ZZZ = (CFC, FKL)
PRA = (GRB, MDB)
VTV = (LXQ, HKP)
PPX = (SQM, MTG)
PVA = (MRJ, CVH)
BJH = (VTR, RKG)
KPH = (RFD, NJP)
HXG = (NVJ, HNG)
LRX = (DCX, MGH)
NFD = (PFR, FVQ)
